,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
9453,13392,LA,1,M,N,N,N,N,N,Y,N,N
9454,13393,LA,2,M,N,N,N,N,N,Y,N,N
9455,13394,LA,1,F,N,N,Y,N,N,N,N,N
9456,13395,LA,2,M,N,N,N,N,N,Y,N,N
9457,13396,LA,1,F,N,N,N,N,N,Y,N,N
9458,13397,LA,2,F,N,N,N,N,N,Y,N,N
9459,13398,LA,2,F,N,N,N,N,N,Y,N,N
9460,13399,LA,2,F,N,N,Y,N,N,N,N,N
9461,13400,LA,2,M,N,N,N,N,N,Y,N,N
9462,13401,LA,2,F,N,N,Y,N,N,N,N,N
9463,13402,EN,2,F,N,N,N,N,N,Y,N,N
9464,13403,BU,1,F,N,N,N,N,N,Y,N,N
9465,13404,LA,2,M,N,N,N,N,N,Y,N,N
9466,13405,LA,2,M,Y,N,N,N,N,Y,N,N
9467,13406,BU,1,F,N,N,N,N,N,Y,N,N
9468,13407,EN,1,M,N,N,N,N,N,Y,N,N
9469,13408,BU,1,F,N,N,N,N,N,Y,N,N
9470,13409,LA,2,F,N,N,Y,N,N,N,N,N
9471,13410,FA,3,F,N,N,N,N,N,Y,N,N
9472,13411,EN,6,M,N,N,Y,N,N,N,Y,N
9473,13412,LA,2,M,N,N,Y,N,N,N,N,N
9474,13413,LA,2,M,N,N,Y,N,N,N,N,N
9475,13414,LA,1,M,N,N,N,N,N,Y,N,N
9476,13415,LA,1,F,N,N,N,N,N,Y,N,N
9477,13416,LA,2,F,N,N,N,N,N,Y,N,N
9478,13417,LA,1,M,N,N,Y,N,N,N,N,N
9479,13418,LA,1,M,N,N,Y,N,N,N,N,N
9480,13419,EN,2,F,N,N,N,N,N,Y,N,N
9481,13420,LA,2,M,N,N,N,N,N,Y,N,N
9482,13421,LA,1,M,N,N,Y,N,N,Y,N,N
9483,13422,LA,1,F,N,N,N,N,N,Y,N,N
9484,13423,LA,2,F,N,N,Y,N,N,Y,N,N
9485,13424,FA,2,F,N,N,N,N,N,Y,N,N
9486,13425,LA,2,F,N,N,N,N,N,Y,N,N
9487,13426,EN,2,F,N,N,N,N,N,Y,N,N
9488,13427,LA,2,F,N,N,N,N,N,Y,N,N
9489,13428,LA,2,M,N,N,Y,N,N,N,N,N
9490,13429,LA,2,F,N,N,Y,N,N,N,N,N
9491,13430,LA,1,M,N,N,N,N,N,Y,N,N
9492,13431,FA,1,F,N,N,Y,N,N,N,N,N
9493,13432,EN,1,M,Y,N,N,N,N,Y,N,N
9494,13433,LA,3,F,N,N,Y,N,N,N,N,N
9495,13434,BU,2,M,N,N,Y,N,N,N,N,N
9496,13435,AR,2,M,N,N,N,N,N,Y,N,N
9497,13436,LA,1,M,N,N,N,N,N,Y,N,N
9498,13437,LA,2,M,N,N,N,N,N,Y,N,N
9499,13438,BU,2,F,N,N,N,N,N,Y,N,N
9500,13439,LA,1,M,N,N,N,N,N,Y,N,N
9501,13440,LA,0,F,N,N,N,N,N,Y,N,N
9502,13441,LA,2,F,N,N,Y,N,N,N,N,N
9503,13442,LA,2,M,N,N,N,N,N,Y,N,N
9504,13443,LA,2,F,N,N,N,N,N,Y,N,N
9505,13444,LA,2,F,N,N,Y,N,N,N,N,N
9506,13445,LA,2,F,N,N,Y,N,N,N,N,N
9507,13446,LA,1,F,N,N,N,N,N,Y,N,N
9508,13447,EN,2,M,N,N,Y,N,N,N,N,N
9509,13448,LA,2,M,N,N,Y,N,N,N,N,N
9510,13449,EN,2,M,N,N,Y,N,N,N,N,N
9511,13450,EN,2,M,N,N,N,N,N,Y,N,N
9512,13451,LA,1,F,N,N,Y,N,N,Y,N,N
9513,13452,LA,2,F,N,N,Y,N,N,N,N,N
9514,13453,LA,2,F,N,N,N,N,N,Y,N,N
9515,13454,LA,2,M,N,N,Y,N,N,N,Y,N
9516,13455,EN,2,M,N,N,Y,N,N,N,N,N
9517,13456,LA,2,F,N,N,Y,N,N,N,N,N
9518,13457,LA,1,F,N,N,N,N,N,Y,N,N
