date,num,product_list,id,dateandtime,previous_list,match,previous_dateandtime,timediff,timediffstamp,log_timediff,newid,asian,female,stdtlevel,previous_id,previous_newid,previous_asian,previous_female,freshmen,previous_freshmen,staff,previous_staff,month,week,week_order,newid_former,pair_occurance
8/25/13,7793,['quesadilla vegetable'],6070,8/25/13 17:31,['quesadilla vegetable'],1,8/25/13 17:31,0 days 00:00:28.000000000,28,3.33220451,5164,0,0,4,6013,5111,0,0,0,0,0,0,8,34,0,7534.0,1
8/25/13,7802,['taco'],5730,8/25/13 17:35,['grilled chicken sandwich'],0,8/25/13 17:34,0 days 00:00:54.000000000,54,3.988984047,4848,1,1,4,6068,5162,0,1,0,0,0,0,8,34,0,5164.0,1
8/25/13,7803,['taco'],8554,8/25/13 17:35,['taco'],1,8/25/13 17:35,0 days 00:00:26.000000000,26,3.258096538,7372,0,1,2,5730,4848,1,1,1,0,0,0,8,34,0,4848.0,1
8/25/13,7804,['taco'],8515,8/25/13 17:35,['taco'],1,8/25/13 17:35,0 days 00:00:11.000000000,11,2.397895273,7334,0,1,1,8554,7372,0,1,1,1,0,0,8,34,0,7372.0,1
8/25/13,7820,['burrito'],9072,8/25/13 17:45,['burrito'],1,8/25/13 17:44,0 days 00:00:24.000000000,24,3.17805383,7882,0,0,1,7907,6735,0,0,1,1,0,0,8,34,0,7334.0,1
8/25/13,7822,['burrito'],8925,8/25/13 17:45,['burrito'],1,8/25/13 17:45,0 days 00:00:46.000000000,46,3.828641396,7735,0,0,1,9072,7882,0,0,1,1,0,0,8,34,0,7882.0,1
8/25/13,7826,['quesadilla vegetable'],8726,8/25/13 17:48,['burrito'],0,8/25/13 17:48,0 days 00:00:20.000000000,20,2.995732274,7540,1,0,1,8893,7703,0,0,1,1,0,0,8,34,0,7735.0,1
8/25/13,7827,['burrito'],7965,8/25/13 17:49,['quesadilla vegetable'],0,8/25/13 17:48,0 days 00:00:55.000000000,55,4.007333185,6793,0,1,1,8726,7540,1,0,1,1,0,0,8,34,0,7540.0,1
8/25/13,7828,['quesadilla vegetable'],8564,8/25/13 17:49,['burrito'],0,8/25/13 17:49,0 days 00:00:09.000000000,9,2.197224577,7381,0,1,2,7965,6793,0,1,1,1,0,0,8,34,0,6793.0,1
8/25/13,7831,['cheese burger'],8402,8/25/13 17:51,['burrito'],0,8/25/13 17:50,0 days 00:00:30.000000000,30,3.401197382,7223,1,0,2,8038,6864,1,0,1,1,0,0,8,34,0,7381.0,1
8/25/13,7849,['taco salad'],6449,8/25/13 18:32,['burrito'],0,8/25/13 18:32,0 days 00:00:13.000000000,13,2.564949357,5526,0,1,3,6400,5478,0,1,0,0,0,0,8,34,0,7223.0,1
8/26/13,7920,['taco salad'],3678,8/26/13 11:30,['burrito'],0,8/26/13 11:30,0 days 00:00:17.000000000,17,2.833213344,3050,0,1,6,4906,4117,0,0,0,0,0,0,8,35,1,5526.0,1
8/26/13,7963,['burrito'],10117,8/26/13 11:42,['taco salad'],0,8/26/13 11:41,0 days 00:00:37.000000000,37,3.610917913,8801,0,0,1,1755,1339,1,0,1,0,0,0,8,35,1,3050.0,1
