id,terminal,num,datetime,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr,date,product,quantity,price
NA,NA,3616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Whole fruit,1,0.85
NA,NA,3616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Bowl,1,2.45
NA,NA,3618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
NA,NA,3620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,4
NA,NA,3622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Taco Salad,1,5.75
NA,NA,3623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
NA,NA,3624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Taco Salad,1,5.75
NA,NA,3625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Yogurt Parfait,1,2.9
NA,NA,3626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Large Salad,1,5.35
NA,NA,3627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Guac side,1,1.35
NA,NA,3627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Quesadilla -Veg,1,5.35
NA,NA,3628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
NA,NA,3628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,-1,-1.5
NA,NA,3628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Quesadilla -Veg,1,5.35
NA,NA,3629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Guac side,1,1.35
NA,NA,3629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Taco Salad,1,5.75
NA,NA,3630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Taco Salad,1,5.75
NA,NA,3633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Regular Salad,1,4.1
NA,NA,3635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD LG,1,7.05
NA,NA,3639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Milk Chug,1,1.7
NA,NA,3643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,6/6 Pizza/Caesar,1,6.1
NA,NA,3645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Bowl,1,2.45
NA,NA,3647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
